Part,Value,Place,Package,Description
C7_0.1UF,.01uf,CHIP COMPONENT,C1206,"CAPACITOR, European symbol"
C2_0.1UF,0.1uf,CHIP COMPONENT,C1206,"CAPACITOR, European symbol"
C5_0.1UF,0.1uf,CHIP COMPONENT,C1206,"CAPACITOR, European symbol"
C6_0.1UF,0.1uf,CHIP COMPONENT,C1206,"CAPACITOR, European symbol"
C8_0.1UF,0.1uf,CHIP COMPONENT,C1206,"CAPACITOR, European symbol"
C9_0.1UF,0.1uf,CHIP COMPONENT,C1206,"CAPACITOR, European symbol"
R36_100K,100k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R11_10K,10k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R13_10K,10k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R15_10K,10k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R17_10K,10k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R19_10K,10k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R35_10K,10k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R37_10K,10k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R5_10K,10k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R7_10K,10k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R9_10K,10k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
C3_10UF,10uf,CHIP COMPONENT,C1206,"CAPACITOR, European symbol"
C4_10UF,10uf,CHIP COMPONENT,C1206,"CAPACITOR, European symbol"
R1_1K,1k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R21_1K,1k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R23_1K,1k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R38_1K,1k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R41_1K,1k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R42_1K,1k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R2_22K,22k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R3_22K,22k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
C11_22PF,22pf,CHIP COMPONENT,C1206,"CAPACITOR, European symbol"
C12_0.1PF,22pf,CHIP COMPONENT,C1206,"CAPACITOR, European symbol"
R39_2K,2k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R24_2K2,2k2,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R25_2K2,2k2,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R10_300E,300E,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R12_300E,300E,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R14_300E,300E,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R16_300E,300E,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R18_300E,300E,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R34_300E,300E,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R4_300E,300E,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R6_300E,300E,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R8_300E,300E,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R20_330E,330E,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R22_330E,330E,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
IC4,40106D,CHIP COMPONENT,SO14,Hex SCHMITT TRIGGER
R32_4K7,4k7,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R33_4K7,4k7,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
R40_7K,7k,CHIP COMPONENT,R1206,"RESISTOR, European symbol"
U2,ATMEGA16-16AU,CHIP COMPONENT,QFP80P1200X1200X120-44N,8-bit Microcontroller
LDIR_B1,blue,CHIP COMPONENT,CHIPLED_1206,LED
LDIR_F1,blue,CHIP COMPONENT,CHIPLED_1206,LED
